Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: Southwest Airlines Co. (WN)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","02/20/2022","1623","N929WN","DEN","12:50","12:43","265","231","-7","12:53","10","0","0","0","0","0"
"WN","02/20/2022","2147","N8653A","ATL","16:55","16:55","110","103","0","17:08","13","0","0","0","0","0"
"WN","02/20/2022","2352","N7739A","MDW","18:00","17:55","130","122","-5","18:15","20","0","0","0","0","0"
"WN","02/21/2022","0125","N8682B","ATL","05:55","05:52","120","94","-3","05:59","7","0","0","0","0","0"
"WN","02/21/2022","1623","N233LV","DEN","12:50","12:50","265","244","0","12:58","8","0","0","0","0","0"
"WN","02/21/2022","2147","N8629A","ATL","16:55","17:30","110","107","35","17:42","12","10","0","0","0","22"
"WN","02/21/2022","2352","N239WN","MDW","18:00","18:20","130","123","20","18:33","13","0","0","0","0","0"
"WN","02/22/2022","0125","N8802Q","ATL","05:55","05:52","120","111","-3","06:02","10","0","0","0","0","0"
"WN","02/22/2022","1623","N211WN","DEN","12:50","12:49","265","254","-1","13:00","11","0","0","0","0","0"
"WN","02/22/2022","2147","N8694E","ATL","16:55","19:12","110","94","137","19:25","13","1","0","0","0","120"
"WN","02/22/2022","2352","N412WN","MDW","18:00","17:54","130","130","-6","18:03","9","0","0","0","0","0"
"WN","02/23/2022","0125","N8654B","ATL","05:55","05:53","120","97","-2","06:01","8","0","0","0","0","0"
"WN","02/23/2022","1623","N780SW","DEN","12:50","13:25","265","261","35","13:33","8","5","0","0","0","26"
"WN","02/23/2022","2147","N8621A","ATL","16:55","17:22","110","94","27","17:34","12","0","0","0","0","0"
"WN","02/23/2022","2352","N260WN","MDW","18:00","17:55","130","127","-5","18:03","8","0","0","0","0","0"
"WN","02/24/2022","0125","N8816Q","ATL","05:55","05:54","120","106","-1","06:05","11","0","0","0","0","0"
"WN","02/24/2022","1623","N940WN","DEN","12:50","12:52","265","239","2","13:03","11","0","0","0","0","0"
"WN","02/24/2022","2147","N8654B","ATL","16:55","17:37","110","105","42","17:58","21","2","0","0","0","35"
"WN","02/24/2022","2352","N211WN","MDW","18:00","17:50","130","0","-10","17:59","9","0","0","0","0","0"
"WN","02/25/2022","0125","N8647A","ATL","05:55","06:07","120","98","12","06:21","14","0","0","0","0","0"
"WN","02/25/2022","1623","N7713A","DEN","12:50","12:43","265","250","-7","12:51","8","0","0","0","0","0"
"WN","02/25/2022","2147","N8554X","ATL","16:55","18:00","110","101","65","18:14","14","0","0","0","0","56"
